name,slug,bundleId,category,price,releaseDate,audience,headline,summary,landingUrl,appStoreUrl,artworkUrl
AgedCare Monitor,agedcare-monitor,wcs.Agedcare-shared,Medical,Free,2026-05-23,"Professional carers, family carers, and aged-care facility staff",Non-clinical monitoring support for aged-care teams.,"A privacy-minded monitoring aid for resident safety workflows, incident review, carer dashboards, and Apple Watch alert support.",https://worldclassscholars.vercel.app/apple-apps/agedcare-monitor,https://apps.apple.com/us/app/agedcare-monitor/id6767978725?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/47/25/63/47256317-38da-982e-7089-a7755c697226/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/512x512bb.jpg
AI Real Investor,ai-real-investor,wcs.AI-Real-Investor,Finance,$3.99,2026-06-17,Property investors and finance decision-makers,Property and investment decision-support workspace.,"A premium workspace for reviewing property signals, investment considerations, and decision-support outputs before acting.",https://worldclassscholars.vercel.app/apple-apps/ai-real-investor,https://apps.apple.com/us/app/ai-real-investor/id6779068906?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/49/21/1d/49211d29-e411-8329-a998-6f1f04c5dd83/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
CareLens Aged+,carelens-aged,wcs.Carelens-Aged-,Medical,$7.99,2026-06-08,"Clinicians, facility managers, and aged-care teams",Intelligent aged-care coordination and insight support.,"Designed for teams working with ageing, dementia, care planning, and resident-support workflows.",https://worldclassscholars.vercel.app/apple-apps/carelens-aged,https://apps.apple.com/us/app/carelens-aged/id6767072418?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/65/00/17/65001740-baaa-f2b0-d936-63af36925ac0/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
LegalAid,legalaid,wcs.LegalAid,Productivity,$0.49,2026-06-26,People and legal professionals preparing legal-information workflows,"Legal-information workflows, document review, and draft reports.","Structure legal facts, review pasted document text, identify risk signals, prepare jurisdiction-aware prompts, and generate draft reports for qualified review.",https://worldclassscholars.vercel.app/apple-apps/legalaid,https://apps.apple.com/us/app/legalaid/id6782532109?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/00/a2/6f/00a26fcb-947a-5c2b-bc7d-032ebacd99f8/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
PeaceLens,peacelens,wcs.PeaceLens,Education,$3.99,2026-06-09,"Researchers, journalists, election observers, trainers, and policy teams",Peace journalism analysis for election-related media.,"Capture media reports, score coverage with an explainable Peace Journalism Index, compare findings, and prepare research outputs.",https://worldclassscholars.vercel.app/apple-apps/peacelens,https://apps.apple.com/us/app/peacelens/id6776995376?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/62/f1/01/62f10117-eb93-0f0e-dcc4-03a9caf27e69/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
Prop-Valulator,prop-valulator,wcs.Prop-Valulator,Lifestyle,$0.49,2026-06-17,"Homeowners, property watchers, and valuation explorers",AI-assisted property valuation exploration.,Explore property value signals with AI-powered graph inference and heuristic valuation support.,https://worldclassscholars.vercel.app/apple-apps/prop-valulator,https://apps.apple.com/us/app/prop-valulator/id6780286834?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/97/c4/ee/97c4ee87-5fa8-650a-d60f-7e794380ca4c/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
PsychoLogic,psychologic,wcs.PsychoLogic,Medical,$7.99,2026-06-22,Journal users and reflective wellbeing workflows,"Private journaling for everyday thoughts, feelings, and patterns.",A general-purpose journal for recording experiences and reflecting on patterns without replacing professional care.,https://worldclassscholars.vercel.app/apple-apps/psychologic,https://apps.apple.com/us/app/psychologic/id6778269526?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/11/79/73/117973b1-dc85-c2d1-d53f-6f824d853ae0/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
Psychosocial Analytics,psychosocial-analytics,wcs.Psychosocial--Analytics,Medical,$14.99,2026-06-01,Social workers and clinical teams,Structured psychosocial assessment and reporting support.,"Capture structured psychosocial information, organize analysis, and support professional documentation workflows.",https://worldclassscholars.vercel.app/apple-apps/psychosocial-analytics,https://apps.apple.com/us/app/psychosocial-analytics/id6768490648?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/10/71/89/107189f0-48ac-636e-5944-2d24bfce9596/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
TruthLens Global,truthlens-global,wcs.TruthLens,News,$9.99,2026-06-08,"Readers, civic teams, educators, and public-interest reviewers","Review public claims before you share, repeat, or act.","Scan civic messages, speeches, social posts, and public-interest claims with verdicts, confidence, bias signals, and source credibility.",https://worldclassscholars.vercel.app/apple-apps/truthlens-global,https://apps.apple.com/us/app/truthlens-global/id6776208825?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/26/2d/fd/262dfd09-dba1-7347-89fc-1cb06e4df670/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
VisionForge,visionforge,wcs.VisionForge,Graphics & Design,$5.99,2026-06-11,"Creators, designers, and prompt-driven visual explorers",Creative AI generation workspace.,Explore text-to-image and visual generation workflows in a focused creative design environment.,https://worldclassscholars.vercel.app/apple-apps/visionforge,https://apps.apple.com/us/app/visionforge/id6777670360?uo=4,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/15/33/4b/15334b12-841d-4750-9b53-154057662b78/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg
